,ID,Nombre,Edad,Sexo,Telefono,Email,Descripcion,Fumar,Municipio
0,202532,Amaya Leal,51,Mujer,+34946410688,amayaleal@yahoo.com,"¡Hola, soy Amaya! Tengo 51 años y me gusta pintar. Suelo escuchar música rock.",Prefiero no viajar con un fumador,"Torrent, Spain"
1,278529,Evita Azorin,69,Mujer,+34843585320,evitaazorin@yahoo.com,"¡Hola, soy Evita! Tengo 69 años y me gusta cocinar. Suelo escuchar música pop.",No me importa viajar con un fumador,"Valencia, Spain"
2,737739,Roldán Bonilla,30,Hombre,+34941105710,roldanbonilla@gmail.com,"¡Hola, soy Roldán! Tengo 30 años y me gusta cocinar. Suelo escuchar música indie.",No me importa viajar con un fumador,"Burjasot, Spain"
3,243493,Natividad Cisneros,65,Mujer,+34724697470,natividadcisneros@yahoo.com,"¡Hola, soy Natividad! Tengo 65 años y me gusta ver películas. Suelo escuchar música hip-hop.",Prefiero no viajar con un fumador,"Quart de Poblet, Spain"
4,951541,Francisco Javier Vélez,60,Hombre,+34978398950,franciscojaviervelez@yahoo.com,"¡Hola, soy Francisco! Tengo 60 años y me gusta ir al cine. Suelo escuchar música rock-pop.",Prefiero no viajar con un fumador,"Valencia, Spain"
5,566598,Virginia Vilalta,37,Mujer,+34987978658,virginiavilalta@gmail.com,"¡Hola, soy Virginia! Tengo 37 años y me gusta ver películas. Suelo escuchar música rock-pop.",No me importa viajar con un fumador,"Alaquàs, Spain"
6,872196,Soraya Escudero,60,Mujer,+34823742558,sorayaescudero@yahoo.com,"¡Hola, soy Soraya! Tengo 60 años y me gusta salir a correr. Suelo escuchar música electrónica.",Prefiero no viajar con un fumador,"Mislata, Spain"
7,869350,Vasco Beltrán,48,Hombre,+34973695039,vascobeltran@gmail.com,"¡Hola, soy Vasco! Tengo 48 años y me gusta ver películas. Suelo escuchar música electrónica.",Prefiero no viajar con un fumador,"Alaquàs, Spain"
8,124563,Selena Parra,17,Mujer,+34926368804,selenaparra@yahoo.com,"¡Hola, soy Selena! Tengo 17 años y me gusta tocar un instrumento musical. Suelo escuchar música pop.",Prefiero no viajar con un fumador,"Valencia, Spain"
9,681714,Roberto Guijarro,28,Hombre,+34978228767,robertoguijarro@gmail.com,"¡Hola, soy Roberto! Tengo 28 años y me gusta ver películas. Suelo escuchar música reggaeton.",Prefiero no viajar con un fumador,"Manises, Spain"
10,589618,Adelardo Cañizares,25,Hombre,+34871045466,adelardocanizares@gmail.com,"¡Hola, soy Adelardo! Tengo 25 años y me gusta salir a correr. Suelo escuchar música hip-hop.",Prefiero no viajar con un fumador,"Catarroja, Spain"
11,646220,Asunción Barros,57,Mujer,+34926116086,asuncionbarros@gmail.com,"¡Hola, soy Asunción! Tengo 57 años y me gusta practicar deporte. Suelo escuchar música indie.",No me importa viajar con un fumador,"Benetúser, Spain"
12,141663,Leandro Quintero,30,Hombre,+34921470856,leandroquintero@yahoo.com,"¡Hola, soy Leandro! Tengo 30 años y me gusta leer. Suelo escuchar música electrónica.",Prefiero no viajar con un fumador,"Valencia, Spain"
13,550504,Aitana Céspedes,28,Mujer,+34812531086,aitanacespedes@hotmail.com,"¡Hola, soy Aitana! Tengo 28 años y me gusta leer. Suelo escuchar música jazz.",No me importa viajar con un fumador,"Xirivella, Spain"
14,798905,Encarnación Coll,33,Mujer,+34888652858,encarnacioncoll@gmail.com,"¡Hola, soy Encarnación! Tengo 33 años y me gusta pintar. Suelo escuchar música electrónica.",Prefiero no viajar con un fumador,"Catarroja, Spain"
15,952359,Mayte Diaz,54,Mujer,+34942602705,maytediaz@yahoo.com,"¡Hola, soy Mayte! Tengo 54 años y me gusta tocar un instrumento musical. Suelo escuchar música indie.",No me importa viajar con un fumador,"Valencia, Spain"
16,429674,Trinidad Sanmartín,78,Hombre,+34950285888,trinidadsanmartin@gmail.com,"¡Hola, soy Trinidad! Tengo 78 años y me gusta cocinar. Suelo escuchar música clásica.",No me importa viajar con un fumador,"Tavernes Blanques, Spain"
17,220978,Francisco Javier Vall,77,Hombre,+34928395148,franciscojaviervall@gmail.com,"¡Hola, soy Francisco! Tengo 77 años y me gusta tocar un instrumento musical. Suelo escuchar música jazz.",No me importa viajar con un fumador,"Valencia, Spain"
18,388510,Clara Montserrat,56,Mujer,+34944081383,claramontserrat@gmail.com,"¡Hola, soy Clara! Tengo 56 años y me gusta viajar. Suelo escuchar música reggaeton.",No me importa viajar con un fumador,"Alboraya, Spain"
19,703162,Cleto Ledesma,83,Hombre,+34878195158,cletoledesma@hotmail.com,"¡Hola, soy Cleto! Tengo 83 años y me gusta practicar deporte. Suelo escuchar música reggaeton.",Prefiero no viajar con un fumador,"Valencia, Spain"
20,935375,Bonifacio Cerdá,43,Hombre,+34978760497,bonifaciocerda@yahoo.com,"¡Hola, soy Bonifacio! Tengo 43 años y me gusta ir al cine. Suelo escuchar música jazz.",Prefiero no viajar con un fumador,"Valencia, Spain"
21,992271,Hector Gomez,18,Hombre,+34981290997,hectorgomez@yahoo.com,"¡Hola, soy Hector! Tengo 18 años y me gusta ir al cine. Suelo escuchar música hip-hop.",No me importa viajar con un fumador,"Valencia, Spain"
22,835959,Pablo Carvajal,82,Hombre,+34806575655,pablocarvajal@gmail.com,"¡Hola, soy Pablo! Tengo 82 años y me gusta practicar deporte. Suelo escuchar música hip-hop.",No me importa viajar con un fumador,"Alboraya, Spain"
23,470807,Rogelio Sanchez,85,Hombre,+34871260668,rogeliosanchez@yahoo.com,"¡Hola, soy Rogelio! Tengo 85 años y me gusta hacer senderismo. Suelo escuchar música hip-hop.",No me importa viajar con un fumador,"Burjasot, Spain"
24,697296,Severino Díez,83,Hombre,+34941514148,severinodiez@hotmail.com,"¡Hola, soy Severino! Tengo 83 años y me gusta salir a correr. Suelo escuchar música indie.",No me importa viajar con un fumador,"Mislata, Spain"
25,510183,Felipe Ballesteros,64,Hombre,+34806964179,felipeballesteros@hotmail.com,"¡Hola, soy Felipe! Tengo 64 años y me gusta ver películas. Suelo escuchar música rock-pop.",Prefiero no viajar con un fumador,"Paiporta, Spain"
26,789367,Eufemia Herrera,40,Mujer,+34972479953,eufemiaherrera@hotmail.com,"¡Hola, soy Eufemia! Tengo 40 años y me gusta ir al cine. Suelo escuchar música indie.",No me importa viajar con un fumador,"Benetúser, Spain"
27,713998,Jessica Vallejo,79,Mujer,+34885502106,jessicavallejo@hotmail.com,"¡Hola, soy Jessica! Tengo 79 años y me gusta cocinar. Suelo escuchar música pop.",No me importa viajar con un fumador,"Catarroja, Spain"
28,611619,Jose Ramón Catalán,38,Hombre,+34987078255,joseramoncatalan@gmail.com,"¡Hola, soy Jose! Tengo 38 años y me gusta leer. Suelo escuchar música clásica.",No me importa viajar con un fumador,"Paiporta, Spain"
29,597027,Marcelino Antón,60,Hombre,+34982949056,marcelinoanton@gmail.com,"¡Hola, soy Marcelino! Tengo 60 años y me gusta pintar. Suelo escuchar música clásica.",Prefiero no viajar con un fumador,"Meliana, Spain"
30,376780,Omar Barros,26,Hombre,+34887265609,omarbarros@gmail.com,"¡Hola, soy Omar! Tengo 26 años y me gusta salir a correr. Suelo escuchar música reggaeton.",No me importa viajar con un fumador,"Alboraya, Spain"
31,318981,Jose Ramón Cózar,66,Hombre,+34803482834,joseramoncozar@yahoo.com,"¡Hola, soy Jose! Tengo 66 años y me gusta leer. Suelo escuchar música reggaeton.",No me importa viajar con un fumador,"Paterna, Spain"
32,346135,Toribio Solsona,19,Hombre,+34887811798,toribiosolsona@hotmail.com,"¡Hola, soy Toribio! Tengo 19 años y me gusta practicar deporte. Suelo escuchar música clásica.",No me importa viajar con un fumador,"Alfafar, Spain"
33,657111,Elisa Ferrero,28,Mujer,+34820667109,elisaferrero@yahoo.com,"¡Hola, soy Elisa! Tengo 28 años y me gusta practicar deporte. Suelo escuchar música electrónica.",No me importa viajar con un fumador,"Aldaya, Spain"
34,653530,Ricardo Ruano,18,Hombre,+34926272333,ricardoruano@gmail.com,"¡Hola, soy Ricardo! Tengo 18 años y me gusta hacer senderismo. Suelo escuchar música electrónica.",No me importa viajar con un fumador,"Paiporta, Spain"
35,188118,Donato Galindo,46,Hombre,+34945006580,donatogalindo@gmail.com,"¡Hola, soy Donato! Tengo 46 años y me gusta practicar deporte. Suelo escuchar música jazz.",Prefiero no viajar con un fumador,"Moncada, Spain"
